Sağlık Tesisi Adı;Tesis Türü;X Koordinatı;Y Koordinatı
KONYA SEYDİŞEHİR 3 NOLU ASHİ;ASHI;37.42424305160276;31.85398058293305
KONYA DEREBUCAK 1 NOLU ASHİ;ASHI;37.3901907185658;31.50405530421816
KONYA TAŞKENT 1 NOLU ASHİ;ASHI;36.92795041837989;32.49632509315261
KONYA KARATAY 1 NOLU ASHİ;ASHI;37.89056236620675;32.5055869284739
KONYA KARATAY 2 NOLU AYNUR KASABALI ASHİ;ASHI;37.86516335410495;32.51843507724052
KONYA KARATAY 10 NOLU ASHİ;ASHI;37.87767940780929;32.50631444335839
KONYA KARATAY 11 NOLU ASHİ;ASHI;37.84664922891927;32.54421070175452
KONYA KARATAY 12 NOLU ASHİ;ASHI;37.82659563813643;32.49060350333411
KONYA KARATAY 3 NOLU ASHİ;ASHI;37.85928161110836;32.50565325694591
KONYA KARATAY 4 NOLU ASHİ;ASHI;37.8761989130219;32.52252273646295
KONYA KARATAY 6 NOLU ASHİ;ASHI;37.84667899785521;32.54407399993224
KONYA KARATAY 7 NOLU BÜSAN BEYŞEHİRLİLER YAPICI ASHİ;ASHI;37.91164240347703;32.54901379996602
KONYA KARATAY 8 NOLU ASHİ;ASHI;37.89061489646441;32.50557312148877
KONYA KARATAY 9 NOLU ASHİ;ASHI;37.89059132300609;32.50559384228141
KONYA MERAM 2 NOLU ASHİ;ASHI;37.86949815594078;32.47694521413003
KONYA MERAM 4 NOLU ASHİ;ASHI;37.86246576127097;32.42422775583592
KONYA MERAM 6 NOLU ASHİ;ASHI;37.74406606241151;32.40679919950517
KONYA MERAM 7 NOLU ASHİ;ASHI;37.81940818955272;32.52217870141877
KONYA SELÇUKLU 1 NOLU ASHİ;ASHI;37.90209170285411;32.46464692606391
KONYA SELÇUKLU 3 NOLU ASHİ;ASHI;37.98118824235409;32.51790798373779
KONYA SELÇUKLU 5 NOLU ASHİ;ASHI;37.895672;32.484183
KONYA SELÇUKLU 8 NOLU ASHİ;ASHI;37.96577227175855;32.48790707701562
KONYA SELÇUKLU 9 NOLU ASHİ;ASHI;37.93752760373884;32.50008082553872
KONYA SELÇUKLU 11 NOLU ASHİ;ASHI;37.92610190401056;32.4913198406345
KONYA SELÇUKLU 13 NOLU ASHİ;ASHI;37.90461133598284;32.4584602513085
KONYA SELÇUKLU 14 NOLU ASHİ;ASHI;37.87853528099663;32.49081978791769
KONYA SELÇUKLU 15 NOLU (HELİKOPTER) ASHİ;ASHI;37.98723942322295;32.48273525325792
KONYA SELÇUKLU 17 NOLU ASHİ;ASHI;37.92814564301334;32.50262281394512
KONYA KARAPINAR 02 NOLU ASHİ;ASHI;37.72582275280375;33.55036066158467
KONYA ÇUMRA 3 NOLU ASHİ;ASHI;37.573888;32.746092
deneme;ASHI;37.429502;31.831210
KONYA KULU 1 NOLU ASHİ;ASHI;39.09628744994794;33.07387378052092
KONYA KULU 2 NOLU ASHİ;ASHI;39.09612500565044;33.0794915005774
KONYA ÇELTİK 1 NOLU ASHİ;ASHI;39.02056067804893;31.79231102610136
KONYA EREĞLİ 6 NOLU ASHİ;ASHI;37.470408;34.044382
KONYA AKŞEHİR 4 NOLU ASHİ;ASHI;38.344622;31.441997
KONYA CİHANBEYLİ 3 NOLU ASHİ;ASHI;38.665976;32.922062
KONYA SEYDİŞEHİR 2 NOLU ASHİ;ASHI;37.42424305160277;31.85398058293305
KONYA ÇUMRA 1 NOLU ZEHRA YEŞİLYURT ASHİ;ASHI;37.5767164874883;32.77404630744766
KONYA SARAYÖNÜ 2 NOLU (LADİK) ASHİ;ASHI;38.18941792188302;32.37184112994146
KONYA TUZLUKÇU 1 NOLU ASHİ;ASHI;38.47551192780156;31.62596947338468
KONYA AKÖREN 1 NOLU ASHİ;ASHI;37.45003561916804;32.36264381396013
KONYA AKŞEHİR 2 NOLU ASHİ;ASHI;38.3541652369363;31.42023230253715
KONYA AKŞEHİR 3 NOLU ASHİ;ASHI;38.34769084834575;31.42719366575362
KONYA BEYŞEHİR 1 NOLU ASHİ;ASHI;37.68470838504287;31.72783923149279
KONYA BEYŞEHİR 2 NOLU ASHİ;ASHI;37.67454390416728;31.72195450529651
KONYA BOZKIR 1 NOLU ASHİ;ASHI;37.18920119592751;32.22694711948247
KONYA CİHANBEYLİ 1 NOLU ASHİ;ASHI;38.66524247595572;32.91550795338292
KONYA CİHANBEYLİ 2 NOLU ASHİ;ASHI;38.86864371942585;32.7951218743961
KONYA DOĞANHİSAR 1 NOLU ASHİ;ASHI;38.14176087784997;31.68401314819213
KONYA EREĞLİ 2 NOLU ASHİ;ASHI;37.52682986881051;34.0664803044064
KONYA EREĞLİ 4 NOLU ASHİ;ASHI;37.50560018403085;34.05440705241131
KONYA GÜNEYSINIR 1 NOLU ASHİ;ASHI;37.28080651127974;32.72023812046523
KONYA HALKAPINAR 1 NOLU ASHİ;ASHI;37.43616688485893;34.1902888869414
KONYA ILGIN 2 NOLU ASHİ;ASHI;38.28447316823936;31.89520053099217
KONYA SELÇUKLU 6 NOLU ASHİ;ASHI;37.97480975851468;32.60546620690228
KONYA ALTINEKİN 1 NOLU ASHİ;ASHI;38.30712621005439;32.86174263798634
KONYA BEYŞEHİR 3 NOLU ASHİ;ASHI;37.6846827323144;31.72791678124338
KONYA BOZKIR 2 NOLU (SARIOĞLAN) ASHİ;ASHI;37.21520390964475;32.55048572422636
KONYA ÇUMRA 2 NOLU ASHİ;ASHI;37.57197995238757;32.65753065182851
KONYA DERBENT 1 NOLU ASHİ;ASHI;38.02017329587635;32.00926700285115
KONYA EMİRGAZİ 1 NOLU ASHİ;ASHI;37.89086901378688;33.8305213072702
KONYA EREĞLİ 1 NOLU ASHİ;ASHI;37.50616710305633;34.05416673442124
KONYA EREĞLİ 3 NOLU DİLEK DEMİREL ASHİ;ASHI;37.5225359704899;34.03467827008748
KONYA EREĞLİ 5 NOLU ASHİ;ASHI;37.5061671138155;34.05378677076726
KONYA HADIM 1 NOLU ASHİ;ASHI;36.98820026596115;32.46031480112833
KONYA HÜYÜK 1 NOLU ASHİ;ASHI;37.94631361203432;31.59493679261077
KONYA ILGIN 1 NOLU ASHİ;ASHI;38.27705811893173;31.92455575483946
KONYA KADINHANI 1 NOLU ASHİ;ASHI;38.2369799922967;32.21491645330681
KONYA KARAPINAR 01 NOLU ASHİ;ASHI;37.72583364329454;33.55000193182007
KONYA KULU 3 NOLU ASHİ;ASHI;39.088982;33.070418
KONYA SARAYÖNÜ 1 NOLU ASHİ;ASHI;38.26128115027796;32.40753960221077
KONYA SEYDİŞEHİR 1 NOLU ASHİ;ASHI;37.42442287502216;31.8327834505981
KONYA YUNAK 1 NOLU ASHİ;ASHI;38.81405424417707;31.73214089693535
KONYA KARATAY 5 NOLU ASHİ;ASHI;37.73638619067043;33.05629673751513
KONYA SELÇUKLU 2 NOLU EMİNE BAŞMAN ASHİ;ASHI;37.88065431879972;32.46078782899023
KONYA SELÇUKLU 4 NOLU ASHİ;ASHI;37.91168726488797;32.49141611153871
KONYA SELÇUKLU 7 NOLU SEYİT BULUT ASHİ;ASHI;37.95651557326969;32.50898749532976
KONYA SELÇUKLU 10 NOLU ASHİ;ASHI;37.87485255384891;32.48751338384697
KONYA SELÇUKLU 12 NOLU ASHİ;ASHI;37.87078221434071;32.48822995084911
KONYA SELÇUKLU 16 NOLU ASHİ;ASHI;37.95322135714343;32.52223737492494
KONYA AHIRLI 1 NOLU ASHİ;ASHI;37.24070521327662;32.11556589748391
KONYA AKŞEHİR 1 NOLU AHMET GÜMÜŞOK ASHİ;ASHI;38.34789902567378;31.42734378353135
KONYA MERAM 1 NOLU ASHİ;ASHI;37.86501413238687;32.46624268735486
KONYA MERAM 3 NOLU ASHİ;ASHI;37.83582446114018;32.50536121870515
KONYA MERAM 5 NOLU OSMAN BÜYÜKKAPLAN ASHİ;ASHI;37.84215072565574;32.44626542954891
KONYA MERAM 8 NOLU ASHİ;ASHI;37.85364381774782;32.47273045624853
SARAYÖNÜ MERKEZ AİLE SAĞLIĞI MERKEZİ;ASM;38.260969;32.407524
SELÇUKLU 01 NOLU YENİŞEHİR AİLE SAĞLIĞI MERKEZİ;ASM;37.885224;32.489386
SELÇUKLU 05 NOLU AYDINLIKEVLER AİLE SAĞLIĞI MERKEZİ;ASM;37.911549;32.491311
SELÇUKLU 07 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.877577;32.491936
SELÇUKLU 11 NOLU AKŞEMSETTİN AİLE SAĞLIĞI MERKEZİ;ASM;37.889186;32.455111
SELÇUKLU 14 NOLU AKINCILAR AİLE SAĞLIĞI MERKEZİ;ASM;37.901880;32.464594
SELÇUKLU 17 NOLU BOSNA HERSEK AİLE SAĞLIĞI MERKEZİ;ASM;38.013727;32.526655
SELÇUKLU 20 NOLU MEVLÜT BÜYÜKAMBARLAR AİLE SAĞLIĞI MERKEZİ;ASM;37.894713;32.488824
SELÇUKLU 22 NOLU ÖZALKENT AİLE SAĞLIĞI MERKEZİ;ASM;37.910536;32.476286
SELÇUKLU 23 NOLU ZEKİ ALTINDAĞ AİLE SAĞLIĞI MERKEZİ;ASM;37.958174;32.524719
SELÇUKLU 26 NOLU DUMLUPINAR AİLE SAĞLIĞI MERKEZİ;ASM;37.928016;32.502811
SELÇUKLU 28 NOLU MUAZZEZ VE MEHMET HİLMİ  UYAR AİLE SAĞLIĞI MERKEZİ;ASM;37.956580;32.509297
SELÇUKLU 31 NOLU TOKİ AİLE SAĞLIĞI MERKEZİ;ASM;37.984119;32.490916
SELÇUKLU 34 NOLU HEKİM HACIPAŞA AİLE SAĞLIĞI MERKEZİ;ASM;37.953144;32.462419
SELÇUKLU 39 NOLU OVA UN AİLE SAĞLIĞI MERKEZİ;ASM;37.878313;32.469333
SELÇUKLU 46 NOLU MUSALLA BAĞLARI AİLE SAĞLIĞI MERKEZİ;ASM;37.889988;32.499594
SELÇUKLU 48 NOLU ÖZALAN AİLE SAĞLIĞI MERKEZİ;ASM;37.894444;32.471388
SELÇUKLU 56 NOLU DAMLAKÖY AİLE SAĞLIĞI MERKEZİ;ASM;37.935549;32.491661
SELÇUKLU 61 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.909649;32.455116
SELÇUKLU 63 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.916600;32.491938
SELÇUKLU 64 NOLU ŞEHİT ÜSTEĞMEN MUSTAFA ÇUHADAR AİLE SAĞLIĞI MERKEZİ;ASM;37.884608;32.478263
SELÇUKLU 66 NOLU KAMPÜS AİLE SAĞLIĞI MERKEZİ;ASM;38.011319;32.532511
SELÇUKLU 67 NOLU OSMAN NURİ KAÇAR AİLE SAĞLIĞI MERKEZİ;ASM;37.926119;32.491394
SELÇUKLU 68 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.961163;32.512858
SELÇUKLU 69 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.980183;32.521316
SELÇUKLU 70 NOLU MERAL ÇINAR AİLE SAĞLIĞI MERKEZİ;ASM;37.943847;32.501041
SELÇUKLU 71 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.901952;32.489327
SELÇUKLU 73 NOLU ŞEHİT ER SAMET BÜTÜN AİLE SAĞLIĞI MERKEZİ;ASM;37.915766;32.500944
SELÇUKLU 75 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.957711;32.496691
SELÇUKLU 78 NOLU EĞİTİM AİLE SAĞLIĞI MERKEZİ;ASM;37.875513;32.479997
SELÇUKLU 80 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.974747;32.521258
SELÇUKLU 81 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.996777;32.526224
SELÇUKLU 82 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.888572232269865;32.46759611239
SELÇUKLU 83 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.894558;32.462305
SELÇUKLU 86 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.950430;32.529036
SELÇUKLU 87 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.977572;32.512794
SELÇUKLU TEPEKÖY AİLE SAĞLIĞI MERKEZİ;ASM;38.067500;32.163611
SEYDİŞEHİR 01 NOLU ALAYLARİKİ AİLE SAĞLIĞI MERKEZİ;ASM;37.423941;31.845008
SEYDİŞEHİR 02 NOLU DR.HALİL COŞAR AİLE SAĞLIĞI MERKEZİ;ASM;37.427313;31.853224
SEYDİŞEHİR 03 NOLU EMEKLİ ALBAY MUAMMER TOLASALI AİLE SAĞLIĞI MERKEZİ;ASM;37.408436;31.842811
SEYDİŞEHİR 04 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.422886;31.844519
SEYDİŞEHİR 05 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.420547;31.842908
SEYDİŞEHİR KETENLİ AİLE SAĞLIĞI MERKEZİ;ASM;37.520180;32.052277
SEYDİŞEHİR ORTAKARAÖREN AİLE SAĞLIĞI MERKEZİ;ASM;37.379011;32.096602
TAŞKENT BALCILAR AİLE SAĞLIĞI MERKEZİ;ASM;36.893058;32.684647
TAŞKENT MERKEZ AİLE SAĞLIĞI MERKEZİ;ASM;36.928002;32.496394
YALIHÜYÜK MERKEZ AİLE SAĞLIĞI MERKEZİ;ASM;37.295447;32.094722
YUNAK 01 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;38.816949;31.731836
YUNAK KUZÖREN AİLE SAĞLIĞI MERKEZİ;ASM;38.696763;31.749805
YUNAK SÜLÜKLÜ AİLE SAĞLIĞI MERKEZİ;ASM;38.880358;32.338447
AKŞEHİR 02 NOLU HACI İZZET BAYSAL AİLE SAĞLIĞI MERKEZİ;ASM;38.360792;31.423778
BEYŞEHİR DOĞANBEY AİLE SAĞLIĞI MERKEZİ;ASM;37.803672;31.885680
BEYŞEHİR 02 NOLU EVSAT AİLE SAĞLIĞI MERKEZİ;ASM;37.675502;31.729475
BOZKIR SARIOĞLAN AİLE SAĞLIĞI MERKEZİ;ASM;37.207119;32.545613
CİHANBEYLİ KANDİL AİLE SAĞLIĞI MERKEZİ;ASM;38.970277;32.518611
ÇELTİK GÖKPINAR AİLE SAĞLIĞI MERKEZİ;ASM;39.053172;31.833347
ÇUMRA 01 NOLU ÇAYBAŞI AİLE SAĞLIĞI MERKEZİ;ASM;37.565258;32.785711
DOĞANHİSAR 01 NOLU KUZ AİLE SAĞLIĞI MERKEZİ;ASM;38.141772;31.684805
EREĞLİ CEZAEVİ AİLE SAĞLIĞI MERKEZİ;ASM;37.466811;34.037147
EREĞLİ 02 NOLU HACI MÜTAHİR AİLE SAĞLIĞI MERKEZİ;ASM;37.509327;34.051794
EREĞLİ 08 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.508974;34.057594
AHIRLI AKKİSE AİLE SAĞLIĞI MERKEZİ;ASM;37.366030;32.129383
AHIRLI MERKEZ AİLE SAĞLIĞI MERKEZİ;ASM;37.237255;32.122363
AKÖREN MERKEZ AİLE SAĞLIĞI MERKEZİ;ASM;37.450138;32.362711
AKŞEHİR 01 NOLU SEYRAN AİLE SAĞLIĞI MERKEZİ;ASM;38.353916;31.421447
AKŞEHİR 03 NOLU SELÇUK AİLE SAĞLIĞI MERKEZİ;ASM;38.367052;31.405339
AKŞEHİR 04 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;38.347640;31.427187
AKŞEHİR 05 NOLU NİHAL VE ALİ YETİŞ AİLE SAĞLIĞI MERKEZİ;ASM;38.356916;31.411735
AKŞEHİR 06 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;38.365362;31.416647
AKŞEHİR ADSIZ AİLE SAĞLIĞI MERKEZİ;ASM;38.374596;31.450284
AKŞEHİR ALTUNTAŞ AİLE SAĞLIĞI MERKEZİ;ASM;38.338344;31.529017
AKŞEHİR ATAKENT AİLE SAĞLIĞI MERKEZİ;ASM;38.391303;31.384233
AKŞEHİR ÇAKILLAR AİLE SAĞLIĞI MERKEZİ;ASM;38.246447;31.528566
AKŞEHİR DOĞRUGÖZ AİLE SAĞLIĞI MERKEZİ;ASM;38.349488;31.470716
ALTINEKİN AKINCILAR AİLE SAĞLIĞI MERKEZİ;ASM;38.411513;32.884149
ALTINEKİN MERKEZ AİLE SAĞLIĞI MERKEZİ;ASM;38.308269;32.866849
BEYŞEHİR 01 NOLU İÇERİŞEHİR AİLE SAĞLIĞI MERKEZİ;ASM;37.685924;31.717366
BEYŞEHİR 03 NOLU GÖRGÜN YAVUZ AİLE SAĞLIĞI MERKEZİ;ASM;37.684697;31.727916
BEYŞEHİR 04 NOLU HACI ARMAĞAN AİLE SAĞLIĞI MERKEZİ;ASM;37.674574;31.722072
BEYŞEHİR 05 NOLU AİLE SAĞLIĞI MERKEZİ;ASM;37.677369;31.726052
BEYŞEHİR HUĞLU AİLE SAĞLIĞI MERKEZİ;ASM;37.478747;31.584724
BEYŞEHİR KARAALİ AİLE SAĞLIĞI MERKEZİ;ASM;37.951108;31.823886
BEYŞEHİR ÜZÜMLÜ AİLE SAĞLIĞI MERKEZİ;ASM;37.538674;31.602924
BEYŞEHİR YEŞİLDAĞ AİLE SAĞLIĞI MERKEZİ;ASM;37.542250;31.476624
BOZKIR HİSARLIK AİLE SAĞLIĞI MERKEZİ;ASM;37.150386;32.346180
BOZKIR MERKEZ MEHMET ÖZ AİLE SAĞLIĞI MERKEZİ;ASM;37.190691;32.249416
BOZKIR ÜÇPINAR AİLE SAĞLIĞI MERKEZİ;ASM;37.135100;32.265366
